	B6_rep1	B6_rep2	B6_rep3	D2_rep1	D2_rep2	D2_rep3
Cideb	103	78	66	74	75	86
Cidec	0	0	0	0	0	0
Ciita	50	55	47	31	43	42
Cilp	10	9	6	11	8	12
Cilp2	46	48	44	28	46	48
Cinp	1067	922	683	658	787	835
Cipc	4475	4062	3014	2959	3088	3517
Cir1	1441	1410	1048	1077	1236	1297
Cirbp	9768	8770	5992	7325	8183	8932
Cirh1a	874	832	587	573	632	674
Cisd1	2861	2636	1964	1913	2042	2423
Cisd2	3664	3613	2565	2151	2547	2781
Cisd3	537	550	355	373	380	428
Cish	173	145	104	111	128	142
Cit	543	543	425	325	388	389
Cited1	59	53	23	38	30	44
Cited2	2463	2566	1827	1923	1825	2061
Cited4	77	71	41	22	30	30
Ciz1	1565	1567	1299	1260	1378	1317
Ckap2	54	45	19	11	11	15
Ckap2l	28	30	17	9	5	11
Ckap4	1267	1158	863	897	914	1039
Ckap5	13601	12230	9742	8817	10086	10757
Ckb	41734	37925	28533	22647	23300	26463
Cklf	134	95	80	66	99	114
Ckm	83	76	56	65	57	73
Ckmt1	4632	4138	3476	2690	2864	3258
Ckmt2	2	4	1	2	3	4
Cks1b	44	54	47	33	42	40
Cks1brt	0	0	0	0	0	0
Cks2	83	78	59	44	66	61
Clasp1	8789	8229	6835	5936	7126	7494
Clasp2	12171	11239	8554	8229	9575	9938
Clasrp	1346	1400	1056	1099	1223	1271
Clca1	447	434	384	333	322	317
Clca2	0	0	0	0	0	0
Clca3a1	8	4	5	18	16	24
Clca3a2	1	1	2	7	3	2
Clca3b	5	4	3	0	7	19
Clca4a	4	4	5	2	1	1
Clca4b	0	0	0	0	0	0
Clca4c-ps	19	36	33	14	27	40
Clcc1	1789	1679	1315	1282	1530	1597
Clcf1	54	56	40	36	38	43
Clcn1	170	176	135	121	195	160
Clcn2	680	697	516	516	538	551
Clcn3	16656	15007	11173	11165	12815	14005
Clcn4	7309	7179	5237	4742	5330	5839
Clcn5	761	709	511	523	601	578
Clcn6	3606	3566	2727	2969	3376	3456
Clcn7	2845	2844	2085	1678	1789	2032
Clcnka	1	3	3	1	2	0
Clcnkb	0	1	1	1	5	6
Cldn1	103	104	89	27	36	24
Cldn10	22	29	32	20	26	16
Cldn11	9	14	6	40	27	19
Cldn12	4066	3922	2759	2852	3095	3609
Cldn13	0	0	0	0	0	0
Cldn14	0	0	0	1	0	0
Cldn15	38	37	38	37	21	29
Cldn16	0	0	0	0	0	0
Cldn17	0	0	0	0	0	0
Cldn18	0	0	0	0	0	0
Cldn19	145	160	122	25	18	18
Cldn2	202	190	172	27	23	13
Cldn20	11	11	11	11	18	16
Cldn22	16	16	19	14	24	23
Cldn23	404	396	286	40	41	41
Cldn24	6	6	8	9	18	14
Cldn3	13	8	10	0	4	4
Cldn34a	0	0	0	0	0	0
Cldn34b1	0	0	1	0	0	0
Cldn34b2	0	0	1	0	0	0
Cldn34b3	0	0	0	0	0	0
Cldn34b4	0	0	0	0	0	0
Cldn34c1	662	623	436	352	472	498
Cldn34c2	56	52	22	25	33	41
Cldn34c3	9	13	11	6	9	13
Cldn34c4	0	0	0	0	0	0
Cldn34d	0	0	0	0	0	0
Cldn4	6	9	4	1	4	3
Cldn5	531	444	283	346	321	381
Cldn6	2	0	0	0	0	0
Cldn7	72	52	45	51	53	56
Cldn8	1	0	0	0	0	1
Cldn9	1	4	6	3	2	6
Cldnd1	1827	1997	1196	1406	1590	1683
Cldnd2	5	1	3	3	3	3
Clec10a	12	8	8	17	16	13
Clec11a	166	182	133	169	201	199
Clec12a	0	1	0	2	0	0
Clec12b	2	0	0	1	0	0
Clec14a	140	105	90	46	42	73
Clec16a	2680	2605	2074	1967	2244	2368
Clec18a	120	127	97	67	58	43
Clec1a	31	25	18	17	16	20
Clec1b	8	3	5	0	3	4
Clec2d	272	193	161	146	157	178
Clec2e	1	0	0	0	0	0
Clec2f	0	0	0	0	0	1
Clec2g	1	1	0	9	8	9
Clec2h	0	0	0	0	0	1
Clec2i	1	1	0	0	0	0
Clec2j-001	0	0	0	0	0	1
Clec2j-002	0	0	0	1	0	1
Clec2l	956	759	546	497	486	635
Clec3a	0	0	0	0	0	0
Clec3b	3	2	3	3	3	2
Clec4a1	5	6	2	1	3	3
Clec4a2	5	0	4	1	1	2
Clec4a3	6	6	4	1	2	2
Clec4a4	0	1	0	1	0	0
Clec4b1	0	0	0	1	0	0
Clec4b2	0	0	0	0	0	0
Clec4d	0	0	1	0	0	0
Clec4e	1	0	0	0	0	0
Clec4f	2	1	0	0	0	0
Clec4g	3	1	1	1	4	2
Clec4n	5	1	1	1	0	0
Clec5a	19	16	16	15	12	9
Clec7a	32	19	20	6	3	3
Clec9a	2	7	4	1	4	0
Clgn	208	150	120	109	102	119
Clhc1	15	15	5	4	4	5
Clic1	347	358	265	248	265	312
Clic3	108	122	101	138	130	160
Clic4	1376	1409	982	919	984	1037
Clic5	129	126	91	85	67	74
Clic6	294	370	276	272	334	319
Clint1	1132	1207	800	796	879	933
Clip1	5583	5181	4220	3621	4107	4241
Clip2	874	907	688	599	696	743
Clip3	1165	1330	1032	918	1110	1077
Clip4	1974	2009	1310	1349	1539	1587
Clk1	10746	11007	8530	7798	8797	9283
Clk2	1569	1481	1198	1144	1395	1396
Clk3	1865	1805	1346	1271	1402	1454
Clk4	3604	3590	2755	2729	3229	3176
